CTHTA	Circinella_muscae_NRRL_1355.LCG
CTHTP	Circinella_muscae_NRRL_1356.LCG
CTHTG	Circinella_muscae_NRRL_1357.LCG
CTHTC	Circinella_muscae_NRRL_1360.LCG
CTHTO	Circinella_muscae_NRRL_1362.LCG
CTHTU	Circinella_muscae_NRRL_1363.LCG
CTHSZ	Circinella_muscae_NRRL_1364.LCG
CTHTT	Circinella_muscae_NRRL_1367.LCG
CTHTW	Circinella_muscae_NRRL_2403.LCG
GWPAN	Circinella_naumovii_NRRL_5846.LCG
CUPYU	Circinella_rigida_NRRL_2341.LCG
CHXXP	Circinella_simplex_CBS_142.35.LCG
GAUXH	Circinella_simplex_van_Tieghem_NRRL_2407.LCG
GAWGA	Circinella_tenella_NRRL_A-23557.LCG
Cirumb1	Circinella_umbellata_NRRL_1351
CTHTB	Circinella_umbellata_NRRL_1366.LCG
GWOWC	Circinella_umbellata_NRRL_2417.LCG
GBNSC	Circinomucor_circinelloides_NRRL_22899.LCG
Coch	Cochlonema_odontosperma
GPGGC	Coemansia_aciculifera_BCRC_34181.LCG
GXCYS	Coemansia_aciculifera_CBS_109363.LCG
GWWAZ	Coemansia_aciculifera_CBS_516.66.LCG
GPCZB	Coemansia_aciculifera_NRRL_2694.LCG
GPGCG	Coemansia_aciculifera_RSA_476.LCG
GBNTG	Coemansia_asiatica_BCRC_34628.LCG
NC105413	Coemansia_asiatica_NBRC_105413.LCG
BCR34381	Coemansia_biformis_BCRC_34381.LCG
GWCZW	Coemansia_brasiliensis_NRRL_1566.LCG
GPCYX	Coemansia_erecta_BCRC_34228.LCG
GWCZX	Coemansia_erecta_CBS_336.87.LCG
GWCZY	Coemansia_erecta_CBS_939.97.LCG
GWCZZ	Coemansia_erecta_IMI_279145.LCG
NRC32514	Coemansia_erecta_NBRC_32514.LCG
GBNUS	Coemansia_formosensis_NRRL_5531T.LCG
GPCZX	Coemansia_furcata_BCRC_34190.LCG
GWGAA	Coemansia_furcata_CBS_102833.LCG
GWWAY	Coemansia_guatemalense_NRRL_1565.LCG
GWWBC	Coemansia_helicoidea_BCRC_34780.LCG
GPCZO	Coemansia_interrupta_BCRC_34489.LCG
GWWBB	Coemansia_javaensis_NBRC_105414.LCG
GPGHN	Coemansia_linderi_BCRC_34191.LCG
Coemoj1	Coemansia_mojavensis_RSA_71
GWWBT	Coemansia_nantahalensis_CBS_109366.LCG
GWWBS	Coemansia_nantahalensis_CBS_109400.LCG
GPGHT	Coemansia_pectinata_BCRC_34297.LCG
Coere1	Coemansia_reversa_NRRL_1564
GPGAU	Coemansia_sp._BCRC_34301.LCG
GWGAB	Coemansia_sp._BCRC_34490.LCG
GWCYN	Coemansia_sp._BCRC_34962.LCG
GPGBO	Coemansia_sp._Benny_D115.LCG
BeD1602	Coemansia_sp._Benny_D160-2.LCG
GWWBA	Coemansia_sp._Cherry_401B.LCG
GWGAC	Coemansia_sp._D1744.LCG
GBNSO	Coemansia_sp._IMI_203386.LCG
MI209127	Coemansia_sp._IMI_209127.LCG
GWWBP	Coemansia_sp._IMI_209128.LCG
GWWBG	Coemansia_spiralis_CBS_108938.LCG
GXCYY	Coemansia_spiralis_CBS_109367.LCG
GPGCY	Coemansia_spiralis_NRRL_3115.LCG
Coespi1	Coemansia_spiralis_RSA_1278.v1
GWGAG	Coemansia_sp._RSA_1085.LCG
RSA1086	Coemansia_sp._RSA_1086.LCG
GXCYH	Coemansia_sp._RSA_1199.LCG
GWGAH	Coemansia_sp._RSA_1200.LCG
GWGAN	Coemansia_sp._RSA_1250.LCG
GPGGH	Coemansia_sp._RSA_1285.LCG
GPCZU	Coemansia_sp._RSA_1286.LCG
GXCYN	Coemansia_sp._RSA_1287.LCG
GWWBN	Coemansia_sp._RSA_1290.LCG
GPGAS	Coemansia_sp._RSA_1358.LCG
GWGAO	Coemansia_sp._RSA_1365.LCG
RSA1591	Coemansia_sp._RSA_1591.LCG
